completed 1/<=180 forwards; 0/<=48 derivatives
completed 2/<=180 forwards; 0/<=48 derivatives
completed 3/<=180 forwards; 0/<=48 derivatives
completed 4/<=180 forwards; 0/<=48 derivatives
completed 5/<=180 forwards; 0/<=48 derivatives
completed 6/<=180 forwards; 0/<=48 derivatives
completed 7/<=180 forwards; 0/<=48 derivatives
completed 8/<=180 forwards; 0/<=48 derivatives
completed 9/<=180 forwards; 0/<=48 derivatives
completed 10/<=180 forwards; 0/<=48 derivatives
completed 11/<=180 forwards; 0/<=48 derivatives
completed 12/<=180 forwards; 0/<=48 derivatives
completed 13/<=180 forwards; 0/<=48 derivatives
completed 14/<=180 forwards; 0/<=48 derivatives
completed 15/<=180 forwards; 0/<=48 derivatives
completed 16/<=180 forwards; 0/<=48 derivatives
completed 17/<=180 forwards; 0/<=48 derivatives
completed 18/<=180 forwards; 0/<=48 derivatives
completed 19/<=180 forwards; 0/<=48 derivatives
completed 20/<=180 forwards; 0/<=48 derivatives
completed 21/<=180 forwards; 0/<=48 derivatives
completed 22/<=180 forwards; 0/<=48 derivatives
completed 23/<=180 forwards; 0/<=48 derivatives
completed 24/<=180 forwards; 0/<=48 derivatives
completed 25/<=180 forwards; 0/<=48 derivatives
completed 26/<=180 forwards; 0/<=48 derivatives
completed 27/<=180 forwards; 0/<=48 derivatives
completed 28/<=180 forwards; 1/<=48 derivatives
completed 29/<=180 forwards; 1/<=48 derivatives
completed 30/<=180 forwards; 1/<=48 derivatives
completed 31/<=180 forwards; 1/<=48 derivatives
completed 32/<=180 forwards; 1/<=48 derivatives
completed 33/<=180 forwards; 1/<=48 derivatives
completed 34/<=180 forwards; 1/<=48 derivatives
completed 35/<=180 forwards; 1/<=48 derivatives
completed 36/<=180 forwards; 1/<=48 derivatives
completed 37/<=180 forwards; 1/<=48 derivatives
completed 38/<=180 forwards; 2/<=48 derivatives
completed 39/<=180 forwards; 2/<=48 derivatives
completed 40/<=180 forwards; 2/<=48 derivatives
completed 41/<=180 forwards; 2/<=48 derivatives
completed 42/<=180 forwards; 2/<=48 derivatives
completed 43/<=180 forwards; 2/<=48 derivatives
completed 44/<=180 forwards; 2/<=48 derivatives
completed 45/<=180 forwards; 2/<=48 derivatives
completed 46/<=180 forwards; 2/<=48 derivatives
completed 47/<=180 forwards; 2/<=48 derivatives
completed 48/<=180 forwards; 3/<=48 derivatives
completed 49/<=180 forwards; 3/<=48 derivatives
completed 50/<=180 forwards; 3/<=48 derivatives
completed 51/<=180 forwards; 3/<=48 derivatives
completed 52/<=180 forwards; 3/<=48 derivatives
completed 53/<=180 forwards; 3/<=48 derivatives
completed 54/<=180 forwards; 3/<=48 derivatives
completed 55/<=180 forwards; 3/<=48 derivatives
completed 56/<=180 forwards; 3/<=48 derivatives
completed 57/<=180 forwards; 3/<=48 derivatives
completed 58/<=180 forwards; 3/<=48 derivatives
completed 59/<=180 forwards; 3/<=48 derivatives
completed 60/<=180 forwards; 3/<=48 derivatives
completed 61/<=180 forwards; 3/<=48 derivatives
completed 62/<=180 forwards; 4/<=48 derivatives
completed 63/<=180 forwards; 4/<=48 derivatives
completed 64/<=180 forwards; 4/<=48 derivatives
completed 65/<=180 forwards; 4/<=48 derivatives
completed 66/<=180 forwards; 4/<=48 derivatives
completed 67/<=180 forwards; 4/<=48 derivatives
completed 68/<=180 forwards; 4/<=48 derivatives
completed 69/<=180 forwards; 4/<=48 derivatives
completed 70/<=180 forwards; 4/<=48 derivatives
completed 71/<=180 forwards; 4/<=48 derivatives
completed 72/<=180 forwards; 5/<=48 derivatives
completed 73/<=180 forwards; 5/<=48 derivatives
completed 74/<=180 forwards; 5/<=48 derivatives
completed 75/<=180 forwards; 5/<=48 derivatives
completed 76/<=180 forwards; 5/<=48 derivatives
completed 77/<=180 forwards; 5/<=48 derivatives
completed 78/<=180 forwards; 5/<=48 derivatives
completed 79/<=180 forwards; 5/<=48 derivatives
completed 80/<=180 forwards; 5/<=48 derivatives
completed 81/<=180 forwards; 5/<=48 derivatives
completed 82/<=180 forwards; 6/<=48 derivatives
completed 83/<=180 forwards; 6/<=48 derivatives
completed 84/<=180 forwards; 6/<=48 derivatives
completed 85/<=180 forwards; 6/<=48 derivatives
completed 86/<=180 forwards; 6/<=48 derivatives
completed 87/<=180 forwards; 6/<=48 derivatives
completed 88/<=180 forwards; 6/<=48 derivatives
completed 89/<=180 forwards; 6/<=48 derivatives
completed 90/<=180 forwards; 6/<=48 derivatives
completed 91/<=180 forwards; 6/<=48 derivatives
completed 92/<=180 forwards; 6/<=48 derivatives
completed 93/<=180 forwards; 6/<=48 derivatives
completed 94/<=180 forwards; 6/<=48 derivatives
completed 95/<=180 forwards; 6/<=48 derivatives
completed 96/<=180 forwards; 6/<=48 derivatives
