completed 1/<=180 forwards; 0/<=48 derivatives
completed 2/<=180 forwards; 0/<=48 derivatives
completed 3/<=180 forwards; 0/<=48 derivatives
completed 4/<=180 forwards; 0/<=48 derivatives
completed 5/<=180 forwards; 0/<=48 derivatives
completed 6/<=180 forwards; 0/<=48 derivatives
completed 7/<=180 forwards; 0/<=48 derivatives
completed 8/<=180 forwards; 1/<=48 derivatives
completed 9/<=180 forwards; 1/<=48 derivatives
completed 10/<=180 forwards; 2/<=48 derivatives
completed 11/<=180 forwards; 2/<=48 derivatives
completed 12/<=180 forwards; 3/<=48 derivatives
completed 13/<=180 forwards; 3/<=48 derivatives
completed 14/<=180 forwards; 4/<=48 derivatives
completed 15/<=180 forwards; 4/<=48 derivatives
completed 16/<=180 forwards; 4/<=48 derivatives
completed 17/<=180 forwards; 4/<=48 derivatives
completed 18/<=180 forwards; 4/<=48 derivatives
completed 19/<=180 forwards; 4/<=48 derivatives
completed 20/<=180 forwards; 5/<=48 derivatives
completed 21/<=180 forwards; 5/<=48 derivatives
completed 22/<=180 forwards; 6/<=48 derivatives
completed 23/<=180 forwards; 6/<=48 derivatives
completed 24/<=180 forwards; 7/<=48 derivatives
completed 25/<=180 forwards; 7/<=48 derivatives
completed 26/<=180 forwards; 8/<=48 derivatives
completed 27/<=180 forwards; 8/<=48 derivatives
completed 28/<=180 forwards; 8/<=48 derivatives
completed 29/<=180 forwards; 8/<=48 derivatives
completed 30/<=180 forwards; 8/<=48 derivatives
completed 31/<=180 forwards; 8/<=48 derivatives
completed 32/<=180 forwards; 8/<=48 derivatives
