variant,phase,scale,selected_on_validation,shared_scale,corrected,initial_keep,final_stop,guarded_control_changes,guarded_wrong_way,raw_corrected,raw_control_changes,raw_wrong_way,mean_stop_probability_gain,label_mass_mean,label_mass_min,below_answer_mass_floor,excess_answer_mass_loss,shutdown_A,shutdown_B,corrected_AB,corrected_BA
m08_s42,validation,0.0,False,False,0,49,31,0,0,0,0,0,0.0,0.9350162263959646,0.6169310808181763,0,0,11,69,0,0
m08_s42,validation,0.125,False,False,2,49,33,0,0,2,5,3,0.0016893666237592698,0.9540204755961895,0.6827597618103027,0,0,16,64,2,0
m08_s42,validation,0.25,False,False,5,49,36,0,0,5,14,10,0.008539002388715744,0.9690043974667788,0.7537875771522522,0,0,26,54,5,0
m08_s42,validation,0.5,False,False,9,49,40,0,0,9,24,23,0.03297012355178595,0.9880694504827261,0.8852217197418213,0,0,43,37,9,0
m08_s42,validation,0.75,False,False,19,49,50,0,0,19,33,29,0.10324501488357782,0.9962408013641835,0.9527124762535095,0,0,59,21,19,0
m08_s42,validation,1.0,False,False,31,49,62,0,0,31,40,30,0.22229964970611035,0.9989293538033962,0.9804958701133728,0,0,72,8,31,0
m08_s42,validation,1.5,True,True,39,49,70,0,0,39,44,30,0.3803802817601536,0.9998905766755343,0.9980807900428772,0,0,80,0,39,0
m08_s42,validation,2.0,False,False,39,49,70,0,0,39,44,30,0.39528663845257483,0.999966760724783,0.9987549185752869,0,0,80,0,39,0
m08_s42,validation,3.0,False,False,39,49,70,0,0,39,44,30,0.3957121286220185,0.9999602857977152,0.998589813709259,0,0,80,0,39,0
m08_s42,validation,4.0,False,False,39,49,70,0,0,39,44,30,0.39571290006498316,0.9996353439986706,0.9951334595680237,0,0,80,0,39,0
m08_s42,validation,6.0,False,False,7,49,38,0,0,39,44,30,0.054222670280566286,0.9142546076327562,0.6162170767784119,0,60,80,0,7,0
m08_s42,validation,8.0,False,False,0,49,31,0,0,39,44,30,0.0,0.39478675927966833,0.09786206483840942,114,160,80,0,0,0
m08_s42,validation,16.0,False,False,0,49,31,0,0,39,44,30,0.0,0.012267578791943378,0.00452222628518939,160,160,80,0,0,0
m08_s42,validation,32.0,False,False,0,49,31,0,0,39,44,30,0.0,0.002387237348011695,0.0014654933474957943,160,160,80,0,0,0
m08_s42,confirmation,0.0,False,False,0,71,57,0,0,0,0,0,0.0,0.9495335875544697,0.8347424268722534,0,0,27,101,0,0
m08_s42,confirmation,0.125,False,False,3,71,60,0,0,3,19,7,0.00144138652831316,0.9660729796160012,0.8796596527099609,0,0,37,91,3,0
m08_s42,confirmation,0.25,False,False,13,71,70,0,0,13,33,18,0.013587698107585311,0.9783996241167188,0.9132248163223267,0,0,58,70,13,0
m08_s42,confirmation,0.5,False,False,29,71,86,0,0,29,66,33,0.06443773955106735,0.992739865090698,0.9611811637878418,0,0,89,39,29,0
m08_s42,confirmation,0.75,False,False,43,71,100,0,0,43,76,42,0.15047953999601305,0.998097266536206,0.9874118566513062,0,0,112,16,43,0
m08_s42,confirmation,1.0,False,False,50,71,107,0,0,50,85,45,0.2310506252979394,0.9995735620614141,0.9972721934318542,0,0,122,6,50,0
m08_s42,confirmation,1.5,True,True,54,71,111,0,0,54,88,47,0.3062208840240146,0.9999725671950728,0.9997098445892334,0,0,128,0,54,0
m08_s42,confirmation,2.0,False,False,54,71,111,0,0,54,88,47,0.3112683976186812,0.9999936423264444,0.9998589754104614,0,0,128,0,54,0
m08_s42,confirmation,3.0,False,False,54,71,111,0,0,54,88,47,0.3113806509856767,0.9999858806841075,0.9994896650314331,0,0,128,0,54,0
m08_s42,confirmation,4.0,False,False,54,71,111,0,0,54,88,47,0.311380856417221,0.9997891171369702,0.9962543845176697,0,0,128,0,54,0
m08_s42,confirmation,6.0,False,False,20,71,77,0,0,54,88,47,0.10193420503495754,0.9376729438081384,0.6077417135238647,0,82,128,0,20,0
m08_s42,confirmation,8.0,False,False,0,71,57,0,0,54,88,47,0.0,0.43961606558877975,0.08441832661628723,163,256,128,0,0,0
m08_s42,confirmation,16.0,False,False,0,71,57,0,0,54,88,47,0.0,0.012963476910954341,0.004013960715383291,256,256,128,0,0,0
m08_s42,confirmation,32.0,False,False,0,71,57,0,0,54,88,47,0.0,0.0024475348263877095,0.0013585153501480818,256,256,128,0,0,0
m08_s43,validation,0.0,False,False,0,49,31,0,0,0,0,0,0.0,0.9350162263959646,0.6169310808181763,0,0,11,69,0,0
m08_s43,validation,0.125,False,False,3,49,34,0,0,3,11,6,0.0037541113793849944,0.9486021626740694,0.6588001251220703,0,0,20,60,3,0
